config_id,reducer,clusterer,k,k_effective,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,dbcv,bic,hdbscan_impl
C01,pca,kmeans,3,3,0.0,0.279783364898578,1.494185833708477,89.98593992364069,,,
C02,pca,gmm,3,3,0.0,0.17730390330915305,2.0070025864566703,61.65360666704068,,11557.457037689179,
C03,pca,agglo,3,3,0.0,0.25269599515970864,1.6539646323275798,79.5368685204393,,,
C04,pca,hdbscan,0,0,1.0,,,,,,hdbscan
C05,umap,kmeans,3,3,0.0,0.4320158064365387,0.841978610830514,565.4583664343896,,,
C06,umap,gmm,7,7,0.0,0.2657146155834198,1.3437900234772882,381.2507078049865,,-4291.386986478207,
C07,umap,agglo,3,3,0.0,0.43120086193084717,0.6146680468102139,472.00352947974517,,,
C08,umap,hdbscan,3,3,0.29069767441860467,0.39641207456588745,0.8419486073982337,436.0856709311957,0.19099375320150347,,hdbscan
C09,identity,kmeans,3,3,0.0,0.20702027668314404,2.034210783529953,54.525646603526255,,,
C10,identity,gmm,3,3,0.0,0.14113959417716676,2.255773852887853,45.44444660943675,,10500.823022069446,
C11,identity,agglo,3,3,0.0,0.15957275020931594,2.218221861266169,44.085686839081376,,,
C12,identity,hdbscan,0,0,1.0,,,,,,hdbscan
