id_student,group_id,cluster,total_clicks,weighted_score,imd_band_ord,collaborative_clicks,collaboration_click_ratio,final_result
570317,1,1,959,75.4,7.0,206,0.21480709071949947,Pass
331358,1,0,4178,85.0,9.0,2119,0.5071804691239827,Distinction
2207874,1,2,265,52.4,5.0,109,0.41132075471698115,Fail
244246,1,0,1062,67.8,6.0,74,0.0696798493408663,Pass
345440,2,1,149,73.0,9.0,0,0.0,Pass
313937,2,0,6718,81.4,8.0,1863,0.2773146769871986,Pass
642878,2,2,484,41.333333333333336,7.0,79,0.16322314049586778,Withdrawn
603861,2,1,137,64.0,6.0,0,0.0,Withdrawn
2436812,3,1,539,43.0,9.0,85,0.15769944341372913,Fail
148993,3,0,1857,84.0,3.0,1097,0.5907377490576198,Pass
468120,3,2,106,39.333333333333336,5.0,4,0.03773584905660377,Fail
335764,3,0,1334,87.6,2.0,471,0.3530734632683658,Pass
139033,4,1,757,61.7,9.0,107,0.14134742404227213,Fail
382095,4,0,2251,77.0,5.0,1044,0.4637938693913816,Pass
348275,4,2,521,54.333333333333336,4.0,62,0.11900191938579655,Withdrawn
406671,4,1,344,77.7,8.0,80,0.23255813953488372,Pass
400147,5,1,327,60.0,6.0,29,0.08868501529051988,Pass
293824,5,0,6825,58.7,5.0,3462,0.5072527472527473,Pass
522482,5,2,163,75.0,7.0,26,0.15950920245398773,Withdrawn
2509639,5,1,1172,67.0,8.0,81,0.06911262798634812,Pass
130636,6,1,220,59.7,6.0,30,0.13636363636363635,Pass
2363863,6,0,4403,80.8,0.0,914,0.2075857369975017,Distinction
440319,6,2,572,66.6,2.0,214,0.3741258741258741,Withdrawn
383600,6,1,725,78.8,7.0,25,0.034482758620689655,Pass
131390,7,1,68,78.7,9.0,27,0.39705882352941174,Pass
273346,7,0,1796,82.1,7.0,198,0.11024498886414254,Pass
141506,7,2,341,75.0,2.0,140,0.41055718475073316,Fail
2521865,7,0,3626,61.7,5.0,1810,0.4991726420297849,Pass
2688166,8,1,680,56.75,4.0,85,0.125,Pass
107489,8,0,3418,80.5,2.0,1136,0.3323581041544763,Pass
152668,8,2,601,71.0,9.0,84,0.13976705490848584,Withdrawn
85092,8,1,639,58.0,3.0,164,0.2566510172143975,Pass
2467267,9,1,90,71.7,0.0,3,0.03333333333333333,Pass
544253,9,0,1920,73.1,6.0,135,0.0703125,Pass
1686551,9,2,496,80.0,4.0,101,0.20362903225806453,Withdrawn
167961,9,0,1981,76.3,7.0,244,0.12317011610297829,Pass
