strategy,metric,value,random_mean,random_std,random_percentile,p_greater_or_equal,p_less_or_equal,preferred_direction,preferred_p_value,n_random_runs
mode_a,intra_group_distance,0.5498571841767533,2.8499976955653357,0.059810449701571906,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_a,inter_group_variance,5.018801689147949,1.2997855424880982,0.1446837124865343,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,complementarity,0.26176470588235295,0.5696802325581395,0.013668696150762574,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,engagement_balance,0.6450027514942174,0.3748614088490626,0.02336606955087626,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,demographic_fairness,0.5845417236662107,0.5907385749053542,0.007057051694350537,0.18,0.8217821782178217,0.18811881188118812,lower,0.18811881188118812,100
mode_a,cluster_coverage,0.3490196078431372,0.7595736434108527,0.018224928201016816,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,outcome_diversity,0.4264705882352941,0.5303779069767443,0.010313624113143457,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,at_risk_concentration,0.27294117647058824,0.2703488372093022,1.1102230246251565e-16,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,high_risk_group_rate,0.17647058823529413,0.0608139534883721,0.020856134989127164,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,outcome_balance,0.6031396927844621,0.40972873947863553,0.029827725717174347,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_b,intra_group_distance,3.2296383667928414,2.8499976955653357,0.059810449701571906,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,inter_group_variance,0.39687007665634155,1.2997855424880982,0.1446837124865343,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,complementarity,0.6656976744186046,0.5696802325581395,0.013668696150762574,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,engagement_balance,0.26099001177117515,0.3748614088490626,0.02336606955087626,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,demographic_fairness,0.5902176852352623,0.5907385749053542,0.007057051694350537,0.46,0.5445544554455446,0.46534653465346537,lower,0.46534653465346537,100
mode_b,cluster_coverage,0.8875968992248064,0.7595736434108527,0.018224928201016816,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,outcome_diversity,0.5319767441860465,0.5303779069767443,0.010313624113143457,0.57,0.5643564356435643,0.5742574257425742,higher,0.5643564356435643,100
mode_b,at_risk_concentration,0.2703488372093023,0.2703488372093022,1.1102230246251565e-16,1.0,1.0,1.0,lower,1.0,100
mode_b,high_risk_group_rate,0.023255813953488372,0.0608139534883721,0.020856134989127164,0.06,0.9900990099009901,0.06930693069306931,lower,0.06930693069306931,100
mode_b,outcome_balance,0.32993266982207453,0.40972873947863553,0.029827725717174347,0.01,0.9900990099009901,0.019801980198019802,lower,0.019801980198019802,100
