id_student,group_id,cluster,total_clicks,weighted_score,imd_band_ord,collaborative_clicks,collaboration_click_ratio,final_result
248581,1,0,2699.0,85.0,4.0,242.0,0.0896628380881808,Distinction
310412,1,0,2309.0,77.1,4.0,180.0,0.0779558250324816,Pass
371710,1,0,2920.0,80.2,6.0,552.0,0.18904109589041096,Pass
2500258,1,0,2264.0,72.9,7.0,529.0,0.2336572438162544,Pass
2358969,1,1,1684.0,70.3,7.0,380.0,0.22565320665083136,Pass
28061,2,0,1241.0,77.4,4.0,245.0,0.19742143432715553,Pass
2165164,2,0,1442.0,62.2,6.0,322.0,0.22330097087378642,Pass
149741,2,0,1799.0,67.2,2.0,283.0,0.15730961645358532,Pass
1947156,2,0,1966.0,77.7,4.0,625.0,0.3179043743641913,Pass
2642616,2,1,1479.0,57.1,2.0,318.0,0.2150101419878296,Pass
273346,3,0,1796.0,82.1,7.0,198.0,0.11024498886414254,Pass
135471,3,0,1958.0,84.2,9.0,95.0,0.04851889683350358,Distinction
85302,3,0,2208.0,71.0,8.0,178.0,0.0806159420289855,Pass
302476,3,0,1664.0,85.7,7.0,46.0,0.027644230769230768,Distinction
1799111,3,1,1095.0,77.6,6.0,211.0,0.19269406392694063,Pass
1970390,4,0,3534.0,83.8,0.0,1611.0,0.45585738539898135,Pass
623840,4,0,2256.0,79.5,0.0,836.0,0.37056737588652483,Pass
263251,4,0,2356.0,74.0,4.0,929.0,0.39431239388794564,Pass
2398313,4,0,2587.0,71.2,7.0,640.0,0.24739080015461926,Pass
2507842,4,2,896.0,79.0,9.0,148.0,0.16517857142857142,Withdrawn
351336,5,0,784.0,66.5,6.0,257.0,0.3278061224489796,Pass
2648611,5,0,1347.0,78.2,2.0,94.0,0.06978470675575353,Pass
298838,5,0,1479.0,80.4,7.0,216.0,0.1460446247464503,Pass
696073,5,0,1961.0,74.7,6.0,279.0,0.14227434982151962,Pass
2086400,6,0,3338.0,70.1,7.0,758.0,0.22708208508088676,Pass
2494700,6,0,3347.0,84.1,7.0,832.0,0.2485808186435614,Pass
258587,6,0,5640.0,81.1,6.0,524.0,0.09290780141843971,Distinction
188278,6,0,2996.0,69.6,7.0,607.0,0.20260347129506007,Pass
58071,7,0,2246.0,74.9,9.0,249.0,0.11086375779162956,Pass
409100,7,0,1909.0,79.1,8.0,159.0,0.08328968046097433,Pass
237274,7,0,1886.0,72.2,6.0,490.0,0.2598091198303287,Pass
2277857,7,0,2217.0,64.9,7.0,369.0,0.16644113667117727,Pass
52765,8,0,4048.0,61.5,0.0,1742.0,0.43033596837944665,Pass
133816,8,0,3852.0,66.0,7.0,1553.0,0.40316718587746625,Pass
158707,8,0,4167.0,73.8,8.0,1947.0,0.46724262059035276,Withdrawn
402961,8,0,4292.0,67.9,8.0,1454.0,0.3387698042870457,Pass
1715896,9,0,4613.0,77.8,8.0,2636.0,0.5714285714285714,Pass
2596621,9,0,6860.0,73.0,5.0,4283.0,0.6243440233236152,Pass
569505,9,0,4090.0,85.9,6.0,2320.0,0.5672371638141809,Distinction
1398979,9,0,4504.0,72.28571428571429,9.0,2999.0,0.6658525754884547,Withdrawn
6516,10,0,2535.0,63.5,8.0,387.0,0.15266272189349112,Pass
406682,10,0,2402.0,83.8,7.0,305.0,0.126977518734388,Distinction
1183831,10,0,2619.0,70.4,7.0,333.0,0.12714776632302405,Withdrawn
287210,10,0,2560.0,72.9,7.0,66.0,0.02578125,Pass
303521,11,0,7033.0,80.6,2.0,245.0,0.034835774207308406,Pass
1757766,11,0,3157.0,70.9,3.0,184.0,0.05828318023439975,Pass
174094,11,0,4238.0,76.0,3.0,73.0,0.017225106182161398,Pass
304465,11,0,3378.0,75.1,5.0,651.0,0.19271758436944939,Pass
588477,12,0,4060.0,75.0,2.0,2024.0,0.49852216748768474,Pass
2010232,12,0,4073.0,83.8,8.0,1735.0,0.4259759391112202,Pass
