id_student,group_id,cluster,total_clicks,weighted_score,imd_band_ord,collaborative_clicks,collaboration_click_ratio,final_result
484897,1,1,639.0,61.1,9.0,201.0,0.3145539906103286,Pass
2363863,1,0,4403.0,80.8,0.0,914.0,0.2075857369975017,Distinction
852847,1,2,81.0,32.0,6.0,1.0,0.012345679012345678,Fail
2297896,1,1,469.0,64.0,7.0,29.0,0.06183368869936034,Pass
2578676,2,1,1080.0,71.0,2.0,156.0,0.14444444444444443,Pass
228021,2,0,3840.0,82.2,4.0,776.0,0.20208333333333334,Distinction
630142,2,2,455.0,83.33333333333333,9.0,110.0,0.24175824175824176,Withdrawn
309142,2,1,516.0,65.8,9.0,110.0,0.2131782945736434,Pass
410092,3,1,298.0,66.7,0.0,2.0,0.006711409395973154,Pass
384725,3,0,4172.0,80.5,9.0,2028.0,0.48609779482262705,Pass
2429854,3,2,149.0,69.9,6.0,1.0,0.006711409395973154,Fail
298838,3,0,1479.0,80.4,7.0,216.0,0.1460446247464503,Pass
141377,4,1,612.0,47.0,9.0,160.0,0.26143790849673204,Pass
263543,4,0,1484.0,78.8,9.0,109.0,0.07345013477088949,Pass
275674,4,2,1680.0,44.0,2.0,222.0,0.13214285714285715,Withdrawn
485962,4,1,966.0,80.9,7.0,55.0,0.056935817805383024,Pass
388147,5,1,407.0,39.666666666666664,6.0,108.0,0.26535626535626533,Fail
382095,5,0,2251.0,77.0,5.0,1044.0,0.4637938693913816,Pass
111512,5,2,183.0,69.9,4.0,33.0,0.18032786885245902,Fail
342007,5,0,2276.0,83.9,7.0,317.0,0.13927943760984182,Pass
131390,6,1,68.0,78.7,9.0,27.0,0.39705882352941174,Pass
2692514,6,0,5809.0,78.1,0.0,3723.0,0.6409020485453606,Pass
151587,6,2,134.0,65.8,0.0,8.0,0.05970149253731343,Withdrawn
648130,6,1,361.0,53.5,8.0,28.0,0.07756232686980609,Withdrawn
133922,7,1,515.0,77.9,0.0,50.0,0.0970873786407767,Pass
404356,7,0,1682.0,75.3,9.0,445.0,0.26456599286563615,Pass
1686551,7,2,496.0,80.0,4.0,101.0,0.20362903225806453,Withdrawn
109155,7,0,2828.0,67.2,9.0,1026.0,0.3628005657708628,Pass
418731,8,1,127.0,39.5,7.0,15.0,0.11811023622047244,Fail
199636,8,0,1759.0,73.8,3.0,116.0,0.06594656054576464,Pass
2168833,8,2,20.0,24.0,5.0,0.0,0.0,Withdrawn
375646,8,1,606.0,75.2,4.0,234.0,0.38613861386138615,Pass
447481,9,1,740.0,55.5,7.0,322.0,0.43513513513513513,Pass
1045203,9,0,3037.0,79.4,0.0,792.0,0.26078366809351333,Pass
268733,9,2,3.0,69.9,3.0,0.0,0.0,Fail
350939,9,0,1363.0,69.4,8.0,149.0,0.10931768158473955,Pass
292775,10,1,1626.0,82.8,4.0,198.0,0.12177121771217712,Pass
2494700,10,0,3347.0,84.1,7.0,832.0,0.2485808186435614,Pass
2045084,10,2,250.0,72.0,4.0,25.0,0.1,Fail
476603,10,1,1249.0,84.2,0.0,172.0,0.1377101681345076,Distinction
2688166,11,1,680.0,56.75,4.0,85.0,0.125,Pass
158707,11,0,4167.0,73.8,8.0,1947.0,0.46724262059035276,Withdrawn
2474849,11,2,142.0,35.0,0.0,7.0,0.04929577464788732,Withdrawn
237274,11,0,1886.0,72.2,6.0,490.0,0.2598091198303287,Pass
2425993,12,1,730.0,68.0,4.0,11.0,0.015068493150684932,Pass
421455,12,0,1297.0,77.2,5.0,93.0,0.07170393215111796,Pass
470588,12,2,413.0,72.66666666666667,9.0,11.0,0.026634382566585957,Withdrawn
481022,12,1,75.0,50.8,2.0,23.0,0.30666666666666664,Fail
2654628,13,1,1100.0,72.1,9.0,33.0,0.03,Pass
323370,13,0,1937.0,71.3,3.0,262.0,0.1352607124419205,Pass
2690062,13,2,247.0,58.0,9.0,17.0,0.06882591093117409,Withdrawn
1757766,13,0,3157.0,70.9,3.0,184.0,0.05828318023439975,Pass
687698,14,1,174.0,54.3,2.0,40.0,0.22988505747126436,Pass
398349,14,0,4131.0,78.6,7.0,1441.0,0.34882595013313966,Pass
2576122,14,2,9.0,64.0,7.0,0.0,0.0,Fail
24734,14,1,469.0,47.5,6.0,159.0,0.3390191897654584,Pass
303985,15,1,381.0,76.9,7.0,50.0,0.13123359580052493,Pass
294496,15,0,1236.0,80.0,6.0,177.0,0.14320388349514562,Pass
141506,15,2,341.0,75.0,2.0,140.0,0.41055718475073316,Fail
133816,15,0,3852.0,66.0,7.0,1553.0,0.40316718587746625,Pass
345440,16,1,149.0,73.0,9.0,0.0,0.0,Pass
998493,16,0,9317.0,67.6,9.0,4559.0,0.4893205967586133,Pass
2404408,16,2,678.0,47.333333333333336,4.0,275.0,0.4056047197640118,Fail
424577,16,1,1761.0,57.2,6.0,87.0,0.049403747870528106,Pass
149962,17,1,138.0,68.9,6.0,52.0,0.37681159420289856,Pass
1975209,17,0,2421.0,65.2,4.0,185.0,0.07641470466749277,Pass
185350,17,2,160.0,57.5,6.0,3.0,0.01875,Fail
290164,17,0,5367.0,65.0,3.0,2340.0,0.4359977641140302,Pass
369834,18,1,1173.0,73.6,6.0,92.0,0.0784313725490196,Withdrawn
101116,18,0,1611.0,82.9,6.0,655.0,0.4065797641216636,Pass
2546445,18,2,1854.0,73.0,8.0,477.0,0.25728155339805825,Withdrawn
396655,18,1,459.0,42.3,4.0,98.0,0.21350762527233116,Fail
55104,19,1,1124.0,71.3,6.0,279.0,0.24822064056939502,Pass
544253,19,0,1920.0,73.1,6.0,135.0,0.0703125,Pass
561467,19,2,402.0,69.9,8.0,79.0,0.19651741293532338,Withdrawn
2165164,19,0,1442.0,62.2,6.0,322.0,0.22330097087378642,Pass
346118,20,1,589.0,72.1,2.0,207.0,0.35144312393887944,Pass
70011,20,0,6105.0,81.3,4.0,2334.0,0.3823095823095823,Pass
277880,20,2,9.0,67.2,6.0,0.0,0.0,Withdrawn
1352868,20,1,1064.0,67.2,2.0,229.0,0.21522556390977443,Pass
129955,21,1,876.0,80.2,5.0,3.0,0.003424657534246575,Withdrawn
188278,21,0,2996.0,69.6,7.0,607.0,0.20260347129506007,Pass
85092,21,2,639.0,58.0,3.0,164.0,0.2566510172143975,Pass
381642,21,0,1194.0,79.6,2.0,14.0,0.011725293132328308,Withdrawn
2584873,22,1,1392.0,62.8,8.0,324.0,0.23275862068965517,Pass
409703,22,0,2597.0,64.1,3.0,269.0,0.10358105506353485,Pass
348275,22,2,521.0,54.333333333333336,4.0,62.0,0.11900191938579655,Withdrawn
62487,22,1,667.0,70.6,6.0,42.0,0.06296851574212893,Pass
429858,23,1,226.0,82.9,6.0,10.0,0.04424778761061947,Distinction
2330254,23,0,2352.0,70.9,4.0,939.0,0.399234693877551,Pass
2507842,23,2,896.0,79.0,9.0,148.0,0.16517857142857142,Withdrawn
254625,23,0,1771.0,82.4,2.0,238.0,0.13438735177865613,Distinction
200804,24,1,908.0,64.1,9.0,165.0,0.1817180616740088,Pass
1112555,24,0,2289.0,66.6,3.0,565.0,0.24683267802533856,Pass
440319,24,2,572.0,66.6,2.0,214.0,0.3741258741258741,Withdrawn
130547,24,1,1046.0,58.0,7.0,103.0,0.09847036328871893,Pass
1511033,25,1,620.0,75.3,5.0,0.0,0.0,Pass
2148681,25,0,2083.0,72.5,4.0,581.0,0.27892462794047046,Pass
2273119,25,2,85.0,36.0,3.0,9.0,0.10588235294117647,Withdrawn
235068,25,0,2548.0,59.6,3.0,115.0,0.045133437990580845,Pass
364957,26,1,1328.0,61.1,7.0,229.0,0.17243975903614459,Pass
117818,26,0,1630.0,56.5,4.0,22.0,0.013496932515337423,Pass
2606802,26,2,305.0,29.0,6.0,9.0,0.029508196721311476,Fail
2397661,26,1,1605.0,49.9,2.0,442.0,0.2753894080996885,Pass
383600,27,1,725.0,78.8,7.0,25.0,0.034482758620689655,Pass
335764,27,0,1334.0,87.6,2.0,471.0,0.3530734632683658,Pass
2551932,27,2,511.0,46.666666666666664,5.0,116.0,0.22700587084148727,Withdrawn
332884,27,0,1543.0,81.9,6.0,25.0,0.016202203499675955,Pass
46844,28,1,323.0,66.5,3.0,97.0,0.30030959752321984,Pass
2596621,28,0,6860.0,73.0,5.0,4283.0,0.6243440233236152,Pass
642878,28,2,484.0,41.333333333333336,7.0,79.0,0.16322314049586778,Withdrawn
252073,28,1,861.0,47.0,3.0,31.0,0.036004645760743324,Pass
295060,29,1,1021.0,67.7,7.0,410.0,0.4015670910871694,Fail
228383,29,0,2323.0,70.1,5.0,45.0,0.019371502367628066,Pass
415969,29,2,51.0,58.2,0.0,0.0,0.0,Fail
402961,29,0,4292.0,67.9,8.0,1454.0,0.3387698042870457,Pass
275792,30,1,556.0,73.6,5.0,50.0,0.08992805755395683,Pass
383723,30,0,6573.0,80.3,9.0,3201.0,0.4869922409858512,Pass
721259,30,2,2232.0,65.0,5.0,1207.0,0.5407706093189965,Withdrawn
2358969,30,1,1684.0,70.3,7.0,380.0,0.22565320665083136,Pass
396599,31,1,734.0,53.42857142857143,6.0,127.0,0.17302452316076294,Fail
315744,31,0,3822.0,82.9,9.0,929.0,0.24306645735217164,Distinction
165226,31,2,643.0,77.0,3.0,109.0,0.16951788491446346,Fail
2375975,31,0,3619.0,71.7,6.0,1791.0,0.4948880906327715,Pass
248581,32,0,2699.0,85.0,4.0,242.0,0.0896628380881808,Distinction
1471214,32,1,1161.0,71.4,6.0,203.0,0.1748492678725237,Pass
1818673,32,2,316.0,86.0,2.0,41.0,0.12974683544303797,Fail
1484804,32,1,1379.0,66.8,4.0,19.0,0.013778100072516316,Pass
315076,33,1,1231.0,67.3,0.0,156.0,0.12672623883021933,Pass
310412,33,0,2309.0,77.1,4.0,180.0,0.0779558250324816,Pass
1839386,33,2,205.0,40.0,3.0,60.0,0.2926829268292683,Withdrawn
2680312,33,0,4826.0,79.7,9.0,1145.0,0.23725652714463324,Pass
28061,34,0,1241.0,77.4,4.0,245.0,0.19742143432715553,Pass
335247,34,1,553.0,71.3,8.0,146.0,0.2640144665461121,Pass
337748,34,2,69.0,44.0,3.0,16.0,0.2318840579710145,Withdrawn
2642616,34,1,1479.0,57.1,2.0,318.0,0.2150101419878296,Pass
328024,35,1,2159.0,50.9,6.0,249.0,0.11533117183881426,Pass
384203,35,0,4338.0,76.3,2.0,1887.0,0.43499308437067774,Pass
383180,35,2,441.0,69.8,7.0,13.0,0.02947845804988662,Withdrawn
313937,35,0,6718.0,81.4,8.0,1863.0,0.2773146769871986,Pass
273346,36,0,1796.0,82.1,7.0,198.0,0.11024498886414254,Pass
676546,36,1,256.0,73.57142857142857,8.0,9.0,0.03515625,Withdrawn
522482,36,2,163.0,75.0,7.0,26.0,0.15950920245398773,Withdrawn
1268696,36,1,298.0,61.2,8.0,155.0,0.5201342281879194,Pass
2436812,37,1,539.0,43.0,9.0,85.0,0.15769944341372913,Fail
287210,37,0,2560.0,72.9,7.0,66.0,0.02578125,Pass
2434159,37,2,140.0,51.9,6.0,7.0,0.05,Pass
302476,37,0,1664.0,85.7,7.0,46.0,0.027644230769230768,Distinction
1970390,38,0,3534.0,83.8,0.0,1611.0,0.45585738539898135,Pass
400682,38,1,1423.0,52.1,2.0,153.0,0.10751932536893886,Pass
2540168,38,2,663.0,43.2,7.0,86.0,0.1297134238310709,Withdrawn
626240,38,1,570.0,56.3,3.0,65.0,0.11403508771929824,Pass
329659,39,1,407.0,47.8,3.0,47.0,0.11547911547911548,Fail
1967783,39,0,1961.0,64.2,7.0,563.0,0.2870984191738909,Pass
628088,39,2,424.0,80.0,7.0,191.0,0.45047169811320753,Withdrawn
85302,39,0,2208.0,71.0,8.0,178.0,0.0806159420289855,Pass
351336,40,0,784.0,66.5,6.0,257.0,0.3278061224489796,Pass
527801,40,1,431.0,48.875,9.0,46.0,0.10672853828306264,Fail
175772,40,2,1611.0,85.0,9.0,937.0,0.5816263190564867,Withdrawn
1799111,40,1,1095.0,77.6,6.0,211.0,0.19269406392694063,Pass
174024,41,1,727.0,61.3,6.0,0.0,0.0,Pass
135471,41,0,1958.0,84.2,9.0,95.0,0.04851889683350358,Distinction
1456619,41,2,595.0,63.0,9.0,39.0,0.06554621848739496,Withdrawn
2057803,41,0,2906.0,63.5,5.0,2024.0,0.6964900206469373,Pass
2086400,42,0,3338.0,70.1,7.0,758.0,0.22708208508088676,Pass
603861,42,1,137.0,64.0,6.0,0.0,0.0,Withdrawn
183057,42,2,623.0,66.4,9.0,132.0,0.21187800963081863,Pass
593846,42,1,756.0,64.5,5.0,23.0,0.03042328042328042,Withdrawn
285315,43,1,1140.0,86.3,7.0,104.0,0.0912280701754386,Pass
281636,43,0,2288.0,83.1,2.0,352.0,0.15384615384615385,Pass
2207874,43,2,265.0,52.4,5.0,109.0,0.41132075471698115,Fail
2473538,43,0,1334.0,54.5,8.0,375.0,0.2811094452773613,Pass
58071,44,0,2246.0,74.9,9.0,249.0,0.11086375779162956,Pass
334441,44,1,250.0,40.2,6.0,5.0,0.02,Fail
288994,44,2,125.0,69.9,3.0,20.0,0.16,Fail
411971,44,1,1264.0,72.7,4.0,7.0,0.005537974683544304,Pass
2514368,45,1,286.0,82.9,5.0,0.0,0.0,Distinction
2244332,45,0,12903.0,85.5,2.0,6048.0,0.46872820274354804,Distinction
1676594,45,2,160.0,69.9,8.0,15.0,0.09375,Withdrawn
119902,45,0,2319.0,65.85714285714286,6.0,489.0,0.2108667529107374,Withdrawn
52765,46,0,4048.0,61.5,0.0,1742.0,0.43033596837944665,Pass
2509639,46,1,1172.0,67.0,8.0,81.0,0.06911262798634812,Pass
95755,46,2,356.0,40.666666666666664,9.0,37.0,0.10393258426966293,Withdrawn
2467267,46,1,90.0,71.7,0.0,3.0,0.03333333333333333,Pass
266524,47,1,307.0,54.9,3.0,62.0,0.20195439739413681,Pass
2521865,47,0,3626.0,61.7,5.0,1810.0,0.4991726420297849,Pass
87431,47,2,786.0,50.0,6.0,169.0,0.21501272264631044,Withdrawn
2500258,47,0,2264.0,72.9,7.0,529.0,0.2336572438162544,Pass
623840,48,0,2256.0,79.5,0.0,836.0,0.37056737588652483,Pass
295075,48,1,1535.0,63.7,7.0,226.0,0.1472312703583062,Pass
277123,48,2,456.0,44.2,7.0,34.0,0.07456140350877193,Fail
639053,48,1,190.0,65.9,6.0,6.0,0.031578947368421054,Pass
500113,49,1,463.0,76.4,7.0,24.0,0.05183585313174946,Pass
503889,49,0,1811.0,69.5,3.0,338.0,0.18663721700717836,Pass
2158048,49,2,624.0,86.0,4.0,96.0,0.15384615384615385,Withdrawn
287204,49,0,1777.0,74.4,0.0,367.0,0.20652785593697243,Pass
1715896,50,0,4613.0,77.8,8.0,2636.0,0.5714285714285714,Pass
446108,50,1,875.0,57.1,7.0,201.0,0.2297142857142857,Pass
677281,50,2,86.0,69.9,8.0,7.0,0.08139534883720931,Fail
338407,50,1,229.0,72.0,6.0,47.0,0.2052401746724891,Pass
488990,51,1,501.0,54.3,8.0,53.0,0.10578842315369262,Pass
287040,51,0,1933.0,73.1,4.0,362.0,0.18727366787377134,Pass
1629771,51,1,501.0,79.5,6.0,88.0,0.17564870259481039,Distinction
164944,51,0,1275.0,62.7,4.0,690.0,0.5411764705882353,Pass
6516,52,0,2535.0,63.5,8.0,387.0,0.15266272189349112,Pass
236875,52,1,183.0,46.7,4.0,6.0,0.03278688524590164,Pass
146503,52,1,329.0,61.9,3.0,42.0,0.1276595744680851,Pass
2649800,52,1,1144.0,66.0,5.0,3.0,0.0026223776223776225,Pass
2139353,53,1,1119.0,66.9,5.0,36.0,0.032171581769437,Pass
1183831,53,0,2619.0,70.4,7.0,333.0,0.12714776632302405,Withdrawn
243510,53,1,504.0,42.5,6.0,133.0,0.2638888888888889,Fail
149741,53,0,1799.0,67.2,2.0,283.0,0.15730961645358532,Pass
303521,54,0,7033.0,80.6,2.0,245.0,0.034835774207308406,Pass
2677624,54,1,965.0,70.5,6.0,150.0,0.15544041450777202,Pass
603834,54,1,340.0,61.4,5.0,119.0,0.35,Pass
330594,54,1,918.0,58.8,5.0,84.0,0.0915032679738562,Pass
398171,55,1,1179.0,69.3,7.0,178.0,0.15097540288379982,Pass
26192,55,0,1982.0,86.3,6.0,114.0,0.05751765893037336,Distinction
260623,55,1,1102.0,69.5,4.0,244.0,0.22141560798548093,Pass
258587,55,0,5640.0,81.1,6.0,524.0,0.09290780141843971,Distinction
588477,56,0,4060.0,75.0,2.0,2024.0,0.49852216748768474,Pass
470982,56,1,1060.0,62.1,2.0,74.0,0.06981132075471698,Pass
79403,56,1,1629.0,58.4,8.0,38.0,0.02332719459791283,Withdrawn
400147,56,1,327.0,60.0,6.0,29.0,0.08868501529051988,Pass
2595841,57,1,896.0,55.4,6.0,180.0,0.20089285714285715,Fail
391249,57,0,2463.0,81.6,9.0,460.0,0.18676410881039382,Distinction
442132,57,1,163.0,67.5,2.0,4.0,0.024539877300613498,Pass
