config_id,reducer,clusterer,k,k_effective,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,dbcv,bic,hdbscan_impl
C01,pca,kmeans,3,3,0.0,0.1831684876906089,1.8906574789412522,122.43098291004098,,,
C02,pca,gmm,3,3,0.0,0.18307300124011724,1.8915849986034978,122.36251129227836,,15945.853666075027,
C03,pca,agglo,3,3,0.0,0.18385007577625187,1.8973305790826605,121.03566719832878,,,
C04,pca,hdbscan,3,3,0.2727272727272727,0.2288323726298009,1.6343140940889598,123.01157217029233,0.0007305788224586524,,hdbscan
C05,umap,kmeans,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,,,
C06,umap,gmm,10,10,0.0,0.34249958395957947,1.0893697854054645,6679.304685473553,,-13561.459639878161,
C07,umap,agglo,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,,,
C08,umap,hdbscan,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,0.8962424755630253,,hdbscan
C09,identity,kmeans,3,3,0.0,0.15114023126067425,2.1256756747703283,98.57804523445769,,,
C10,identity,gmm,6,6,0.0,0.14032499449416502,2.3312192676731556,58.80263929206064,,-6563.947366866389,
C11,identity,agglo,3,3,0.0,0.14863337891695275,2.1452825315516426,95.74561764696766,,,
C12,identity,hdbscan,2,2,0.3266563944530046,0.19051509279308923,1.6554691022497738,60.022633349040916,0.06512413411433453,,hdbscan
