strategy,metric,value,random_mean,random_std,random_percentile,p_greater_or_equal,p_less_or_equal,preferred_direction,preferred_p_value,n_random_runs
mode_a,intra_group_distance,0.4601049561761191,7.472708406580416,0.15909694613992895,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_a,inter_group_variance,39.621482849121094,9.842718858718872,0.8590349572059774,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,complementarity,0.2577639751552795,0.5924182004089978,0.01175221102670156,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,cluster_coverage,0.34368530020703936,0.7856237218813905,0.015458431973856077,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,engagement_balance,0.5551367090905186,0.3901637563102782,0.017734624579462274,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,demographic_fairness_sex,0.4724612160131687,0.20536182769779526,0.010424141315346235,1.0,0.009900990099009901,1.0,two-sided,0.009900990099009901,100
mode_a,demographic_fairness_address,0.2276105618773268,0.18748431596825063,0.012381254824456237,1.0,0.009900990099009901,1.0,two-sided,0.009900990099009901,100
mode_a,demographic_fairness,0.35003588894524773,0.19642307183302296,0.00841169566341698,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_a,outcome_diversity,0.8198757763975155,0.858542944785276,0.010085111007670443,0.0,1.0,0.009900990099009901,higher,1.0,100
mode_a,at_risk_concentration,0.0,0.0,0.0,1.0,1.0,1.0,lower,1.0,100
mode_a,high_risk_group_rate,0.0,0.0,0.0,1.0,1.0,1.0,lower,1.0,100
mode_a,outcome_balance,0.5729267414198611,0.39072560212597524,0.020256487365407586,1.0,0.009900990099009901,1.0,lower,1.0,100
mode_b,intra_group_distance,8.97235559624427,7.472708406580416,0.15909694613992895,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,inter_group_variance,2.741959571838379,9.842718858718872,0.8590349572059774,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,complementarity,0.733640081799591,0.5924182004089978,0.01175221102670156,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,cluster_coverage,0.9734151329243355,0.7856237218813905,0.015458431973856077,1.0,0.009900990099009901,1.0,higher,0.009900990099009901,100
mode_b,engagement_balance,0.10024491016345259,0.3901637563102782,0.017734624579462274,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,demographic_fairness_sex,0.11426971177933017,0.20536182769779526,0.010424141315346235,0.0,1.0,0.009900990099009901,two-sided,0.009900990099009901,100
mode_b,demographic_fairness_address,0.08291661546314766,0.18748431596825063,0.012381254824456237,0.0,1.0,0.009900990099009901,two-sided,0.009900990099009901,100
mode_b,demographic_fairness,0.0985931636212389,0.19642307183302296,0.00841169566341698,0.0,1.0,0.009900990099009901,lower,0.009900990099009901,100
mode_b,outcome_diversity,0.8558282208588958,0.858542944785276,0.010085111007670443,0.42,0.6732673267326733,0.42574257425742573,higher,0.6732673267326733,100
mode_b,at_risk_concentration,0.0,0.0,0.0,1.0,1.0,1.0,lower,1.0,100
mode_b,high_risk_group_rate,0.0,0.0,0.0,1.0,1.0,1.0,lower,1.0,100
mode_b,outcome_balance,0.37497605065040013,0.39072560212597524,0.020256487365407586,0.2,0.801980198019802,0.2079207920792079,lower,0.2079207920792079,100
