id_student,group_id,cluster,sex,address,internet,studytime,absences,G1,G3
268,1,0,M,U,yes,2,8,15,15
187,1,0,M,U,yes,2,0,11,10
124,1,0,M,U,yes,1,4,12,13
247,1,0,M,U,yes,2,0,13,13
92,1,1,F,U,yes,1,6,14,13
581,2,0,M,R,yes,1,4,8,10
490,2,0,M,R,yes,1,0,8,10
578,2,0,M,R,yes,2,8,10,11
164,2,0,M,U,yes,1,0,11,0
595,2,1,F,U,yes,2,0,18,18
420,3,0,M,U,yes,1,10,7,11
409,3,0,M,U,yes,2,11,9,12
283,3,0,M,U,yes,1,8,7,7
156,3,0,M,U,yes,1,22,9,6
366,3,1,F,U,yes,2,14,15,17
284,4,0,M,U,yes,2,4,9,10
185,4,0,M,U,yes,1,4,9,10
613,4,0,M,R,yes,2,4,10,11
579,4,0,M,U,yes,2,4,8,10
489,4,2,F,U,no,3,6,7,9
82,5,0,M,U,yes,3,2,10,9
122,5,0,M,U,yes,4,6,14,13
95,5,0,M,U,yes,4,2,11,12
71,5,0,M,U,yes,4,2,13,11
525,5,2,F,R,no,2,2,7,8
19,6,0,M,U,yes,1,2,8,7
572,6,0,M,U,yes,1,4,8,9
79,6,0,M,U,yes,1,0,9,10
544,6,0,M,R,yes,1,2,9,8
379,7,0,M,U,yes,1,0,17,17
42,7,0,M,U,yes,1,8,10,11
502,7,0,M,U,yes,1,8,14,13
369,7,0,M,U,yes,1,2,8,11
108,8,0,M,U,yes,3,4,13,14
37,8,0,M,U,yes,3,0,14,14
447,8,0,M,U,yes,2,0,11,11
29,8,0,M,U,yes,2,2,12,13
115,9,0,M,R,yes,2,4,10,10
431,9,0,M,U,yes,3,0,10,11
351,9,0,M,R,yes,3,0,9,11
249,9,0,M,U,yes,2,2,9,9
419,10,0,M,R,yes,1,13,13,14
226,10,0,M,U,yes,2,15,13,12
531,10,0,M,U,yes,1,8,7,9
193,10,0,M,R,yes,1,8,10,11
181,11,0,M,U,yes,2,0,9,11
308,11,0,M,U,yes,2,0,11,14
442,11,0,M,U,yes,2,4,8,9
287,11,0,M,R,yes,1,0,12,13
410,12,0,M,U,yes,2,9,13,15
320,12,0,M,U,yes,1,6,11,12
637,12,0,M,U,yes,2,4,17,19
307,12,0,M,R,yes,2,6,15,16
624,13,0,M,U,yes,3,0,15,16
43,13,0,M,U,yes,2,0,14,15
152,13,0,M,U,yes,3,0,15,13
32,13,0,M,U,yes,2,2,15,15
44,14,0,M,U,yes,1,0,9,10
279,14,0,M,U,yes,1,2,9,13
9,14,0,M,U,yes,2,0,15,17
296,14,0,M,U,yes,2,4,11,14
639,15,0,M,U,yes,2,4,14,16
7,15,0,M,U,yes,2,0,13,13
209,15,0,M,U,yes,1,0,13,12
15,15,0,M,U,yes,3,0,14,15
264,16,0,M,U,yes,2,16,8,8
207,16,0,M,U,yes,2,16,10,12
327,16,0,M,U,yes,1,18,13,13
326,16,0,M,U,yes,1,22,11,10
84,17,0,M,U,yes,2,2,13,13
533,17,0,M,U,yes,2,2,9,8
551,17,0,M,U,yes,2,0,12,13
297,17,0,M,U,yes,2,2,16,16
412,18,0,M,U,yes,3,2,12,15
102,18,0,M,U,yes,3,0,16,16
526,18,0,M,U,yes,3,0,15,16
38,18,0,M,R,yes,3,4,13,13
648,19,0,M,U,yes,1,6,10,10
143,19,0,M,U,yes,1,2,11,12
212,19,0,M,R,yes,1,16,10,12
325,19,0,M,U,yes,1,10,10,11
34,20,0,M,U,yes,2,0,13,12
21,20,0,M,U,yes,2,0,12,14
302,20,0,M,U,yes,2,2,10,11
194,20,0,M,U,yes,2,4,11,13
201,21,0,M,U,yes,1,0,10,11
580,21,0,M,U,yes,1,0,9,9
81,21,0,M,U,yes,1,0,11,12
282,21,0,M,U,yes,1,0,11,11
208,22,0,M,R,yes,1,0,11,10
31,22,0,M,U,yes,2,0,10,11
200,22,0,M,U,yes,2,6,11,14
251,22,0,M,U,yes,2,0,16,16
243,23,0,M,U,yes,2,2,9,11
380,23,0,M,R,yes,1,2,11,10
292,23,0,M,U,yes,2,4,11,11
62,23,0,F,U,yes,1,0,10,16
553,24,0,M,U,yes,2,2,9,10
174,24,0,M,U,yes,1,0,9,10
285,24,0,M,U,yes,1,4,7,6
238,24,0,M,U,yes,2,9,10,10
546,25,0,M,U,yes,2,8,8,8
126,25,0,M,U,yes,1,2,9,9
